image,label
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\Fotolia_51829528_M.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\g-woman-tattoo-her-foot-meaning-wild-kitty-working-out-fitness-club-83518699.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\Half-Bridge-Pose-Ardha-Setu-Bandhasana.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\health-wellness_balanced-living_exercise-fitness_bridge-pose_2714x1811_000073040411.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\how-to-do-bridge-pose.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\hqdefault.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\ig-feed-pose-breakdown-2022-Simple-Bridge.png,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image-asset.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image10.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image11.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image12.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image13.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image14.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image15.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image16.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image17.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image18.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image19.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image2.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image20.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image21.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image22.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image23.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image24.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image25.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image26.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image27.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image28.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image29.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image3.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image30.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image31.png,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image32.png,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image4.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image5.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image6.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image7.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image8.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\image9.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images10.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images100.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images101.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images102.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images103.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images104.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images105.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images106.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images107.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images108.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images109.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images11.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images110.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images111.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images112.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images113.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images114.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images115.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images116.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images117.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images118.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images119.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images12.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images120.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images121.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images122.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images123.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images124.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images125.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images126.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images127.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images128.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images129.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images13.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images130.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images131.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images132.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images133.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images134.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images135.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images136.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images137.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images138.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images139.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images14.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images140.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images141.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images142.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images143.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images144.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images145.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images146.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images147.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images15.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images16.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images17.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images18.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images19.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images2.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images20.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images21.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images22.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images23.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images24.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images25.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images26.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images27.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images28.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images29.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images3.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images30.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images31.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images32.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images33.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images34.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images35.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images36.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images37.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images38.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images39.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images4.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images40.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images41.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images42.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images43.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images44.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images45.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images46.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images47.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images48.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images49.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images5.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images50.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images51.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images52.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images53.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images54.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images55.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images56.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images57.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images58.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images59.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images6.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images60.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images61.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images62.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images63.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images64.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images65.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images66.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images67.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images68.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\images69.jpg,Bridge-Pose
